AirportCode;AirportName;CountryCode;CountryName;LocalizedCountryName;CityCode;CityName;LocalizedCityName;StateCode;StateName;Rating;IfActive
AAA;Anaa;PF;French Polynesia;Fransýz Polinezyasý;AAA;Anaa;NULL;NULL;NULL;0;1
AAB;Arrabury;AU;Australia;Avustralya;AAB;Arrabury;NULL;QL;Queensland;0;1
AAC;International;EG;Egypt;Mýsýr;AAC;El Arish;NULL;NULL;NULL;0;1
AAD;Ad Dabbah;SD;Sudan;Sudan;AAD;Ad Dabbah;NULL;NULL;NULL;0;1
AAE;Rabah Bitat;DZ;Algeria;Cezayir;AAE;Annaba;NULL;NULL;NULL;0;1
AAF;Apalachicola Mnpl;US;United States Of America;Amerika;AAF;Apalachicola;NULL;FL;Florida;0;1
AAG;Arapoti;BR;Brazil;Brezilya;AAG;Arapoti;NULL;PR;Parana;0;1
AAH;Merzbrueck;DE;Germany;Almanya;AAH;Aachen;NULL;NULL;NULL;0;1
AAI;Arraias;BR;Brazil;Brezilya;AAI;Arraias;NULL;TO;Tocantins;0;1
AAJ;Cayana Airstrip;SR;Suriname;Surinam;AAJ;Awaradam;NULL;NULL;NULL;0;1
AAK;Aranuka;KI;Kiribati;Kiribati;AAK;Aranuka;NULL;NULL;NULL;0;1
AAL;Aalborg;DK;Denmark;Danimarka;AAL;Aalborg;NULL;NULL;NULL;2;1
AAM;Mala Mala;ZA;South Africa;Güney Afrika;AAM;Mala Mala;NULL;NULL;NULL;0;1
AAN;International;AE;United Arab Emirates;Birleþik Arap Emirlikleri;AAN;Al Ain;NULL;NULL;NULL;0;1
AAO;Anaco;VE;Venezuela;Venezuela;AAO;Anaco;NULL;NULL;NULL;0;1
AAP;Andrau Airpark;US;United States Of America;Amerika;HOU;Houston;NULL;TX;Texas;10;1
AAQ;Vityazevo;RU;Russia;Rusya;AAQ;Anapa;NULL;NULL;NULL;1;1
AAR;Airport;DK;Denmark;Danimarka;AAR;Aarhus;NULL;NULL;NULL;3;1
AAS;Apalapsili;ID;Indonesia;Endonezya;AAS;Apalapsili;NULL;NULL;NULL;0;1
AAT;Altay;CN;China -Excl Hong Kong Sar-;Çin;AAT;Altay;NULL;NULL;NULL;0;1
AAU;Asau;WS;Samoa-Independent State Of;Samoa;AAU;Asau;NULL;NULL;NULL;0;1
AAV;Alah;PH;Philippines;Filipinler;AAV;Alah;NULL;NULL;NULL;0;1
AAW;Abbottabad;PK;Pakistan;Pakistan;AAW;Abbottabad;NULL;NULL;NULL;0;1
AAX;Araxa;BR;Brazil;Brezilya;AAX;Araxa;NULL;MG;Minas Gerais;0;1
AAY;Al Ghaydah;YE;Yemen Republic;Yemen ;AAY;Al Ghaydah;NULL;NULL;NULL;0;1
AAZ;Quetzaltenango;GT;Guatemala;Guatemala;AAZ;Quetzaltenango;NULL;NULL;NULL;0;1
ABA;Abakan;RU;Russia;Rusya;ABA;Abakan;NULL;NULL;NULL;0;1
ABB;Raf Station;GB;United Kingdom;Ýngiltere;ABB;Abingdon;NULL;NULL;NULL;0;1
